ids	maltype	system calls frequency_1gram-scaled
delay_11_2021-11-23	delay	[-0.6856276013085024, 25.0, 5.0, -0.4628793001144394, 10.0, -0.7547801091344769, -0.7546917938270296, -0.685438065633979, 0.0, 10.0, 0.0, 30.0, -0.6824511417551764, 10.0, -0.685801641093916, 5.0, 13.407523668464567]
delay_120_2021-11-23	delay	[-0.7235857309128506, 25.0, 5.0, -0.5798758734633248, 10.0, -0.7768456065244872, -0.7767585493000714, -0.7233961962368667, 0.0, 10.0, 0.0, 30.0, -0.7258272946854587, 10.0, -0.7237245984917402, 5.0, 13.374304425679238]
delay_121_2021-11-23	delay	[0.46633765780772785, 25.0, 5.0, -0.5798758734633248, 10.0, 0.39262575514605474, 0.39277949077114876, 0.46610072793676777, 0.0, 10.0, 0.0, 30.0, 0.4674339892908645, 10.0, 0.4658586967242189, 5.0, 14.559124085022654]
delay_122_2021-11-23	delay	[-1.5701799698412908, 25.0, 5.0, -0.5798758734633248, 10.0, -1.637400004734886, -1.6373620127487052, -1.569848292152944, 0.0, 10.0, 0.0, 30.0, -1.5716622768259634, 10.0, -1.57000533200108, 5.0, 12.510604113260673]
delay_123_2021-11-23	delay	[-1.0976225810590683, 25.0, 5.0, -0.5798758734633248, 10.0, -1.151959062154661, -1.1518933923417836, -1.097575221505781, 0.0, 10.0, 0.0, 30.0, -1.0886854970830124, 10.0, -1.0978534238141344, 5.0, 13.008892755040614]
delay_124_2021-11-23	delay	[-1.3616235049365013, 25.0, 5.0, 0.2975984266533156, 10.0, -1.4167450308347838, -1.4166944580182863, -1.3615761523281114, 0.0, 10.0, 0.0, 30.0, -1.351027806632508, 10.0, -1.3617617238340807, 5.0, 12.732065731829536]
delay_125_2021-11-23	delay	[0.27185555556522467, 50.0, 10.0, -0.5213775867888821, 20.0, 0.1940362786359627, 0.19417869151377176, 0.2719029511444665, 0.0, 20.0, 0.0, 60.0, 0.28099994736936273, 20.0, 0.2718084761213173, 10.0, 28.566571459503233]
delay_126_2021-11-23	delay	[-0.8954635537280453, 25.0, 5.0, -0.4043810134399967, 10.0, -0.953369585644569, -0.9532925930844065, -0.8951318582903804, 0.0, 10.0, 0.0, 30.0, -0.8876537113868965, 10.0, -0.8951541076643607, 5.0, 13.307865940108579]
delay_127_2021-11-23	delay	[0.09997773275003001, 25.0, 5.0, -0.5798758734633248, 10.0, 0.017512299515880913, 0.017644647729436653, 0.099740793241482, 0.0, 10.0, 0.0, 30.0, 0.09540006223498182, 10.0, 0.1001571952680078, 5.0, 14.171566252527144]
delay_128_2021-11-23	delay	[0.7427069609944428, 50.0, 10.0, -0.5798758734633248, 20.0, 0.6574117238261774, 0.6575805564476515, 0.7428965342432177, 0.0, 20.0, 0.0, 60.0, 0.7356153963502059, 20.0, 0.7430732975855069, 10.0, 29.009494696640957]
delay_129_2021-11-23	delay	[-0.9402456167444112, 25.0, 5.0, -0.5798758734633248, 10.0, -1.0195660778145996, -1.0194928595035322, -0.940482583617426, 0.0, 10.0, 0.0, 30.0, -0.9439592945175513, 10.0, -0.9406173022056119, 5.0, 13.152842807110375]
delay_12_2021-11-23	delay	[-0.51460277016981, 25.0, 5.0, 2.111045313561039, 10.0, -0.6003216274044054, -0.6002245055157363, -0.5146975605625634, 0.0, 10.0, 0.0, 30.0, -0.5189564114794971, 10.0, -0.5145939036019844, 5.0, 13.551473720534329]
delay_130_2021-11-23	delay	[-0.25614629218964136, 25.0, 5.0, -0.4043810134399967, 10.0, 0.6574117238261774, 0.6575805564476515, -0.25609891050019445, 0.0, 10.0, 0.0, 30.0, -0.2637044346205282, 10.0, -0.25622989559926407, 5.0, 14.813804946376846]
delay_131_2021-11-23	delay	[1.0459455019909774, 25.0, 5.0, -0.4043810134399967, 10.0, 0.9663286872863206, 0.966515133070238, 1.045708587367377, 0.0, 10.0, 0.0, 30.0, 1.0592682297530813, 10.0, 1.0460134134067225, 5.0, 15.134924293301697]
delay_132_2021-11-23	delay	[1.08177115240407, 50.0, 10.0, -0.5798758734633248, 20.0, 0.9883941846763308, 0.9885818885432798, 1.0816764040060682, 0.0, 20.0, 0.0, 60.0, 1.06802687601785, 20.0, 1.0817186539976564, 10.0, 29.33061404356581]
