ids	maltype	system calls tfidf_1gram-scaled
delay_109_2021-11-30	delay	[0.0, 0.0005058009728741156, 0.00022122844227610877, -1.154917491901848, 0.00044245688455221753, 0.5313440780832198, 0.0, 0.1506920988647395, 0.0, 0.00022689260475926645, 0.0, 0.0006068694290140421, -0.4892413806216525, 0.0001644798536876503, -4.131287588576034, 0.00022122844227610877, 42.695120732353715]
delay_10_2021-11-30	delay	[0.0, 0.0004303236147022452, 0.00018821597438662018, 0.0709442065071403, 0.00037643194877324035, -0.8368114463705689, 0.0, -0.32484194222746954, 0.0, 0.00019303491109242185, 0.0, 0.000516310288732097, -0.21189473192178576, 0.00013993560507085423, -1.334254834302199, 0.00018821597438662018, 34.6850232685564]
delay_110_2021-11-30	delay	[0.0, 0.0004785627423710499, 0.00020931491970949532, -0.18228695240646492, 0.00041862983941899065, -1.1303294648971332, 0.0, 0.2554451304527427, 0.0, 0.000214674057545416, 0.0, 0.000574188492678907, -0.9077352549037793, 0.00015562233777106913, -1.594437250288433, 0.00020931491970949532, 38.761695640593224]
delay_111_2021-11-30	delay	[0.0, 0.0004631967628137454, 0.00020259411072766866, -0.767251193497589, 0.0004051882214553373, -0.4467288957611541, 0.0, -1.3639977015781917, 0.0, 0.0002077811741517295, 0.0, 0.0005557521041777254, 0.9014396206433426, 0.0001506255224130609, -1.8533244334182593, 0.00020259411072766866, 36.58101523210412]
delay_112_2021-11-30	delay	[0.0, 0.00040412257841359434, 0.000176756102312391, -0.18503774168822687, 0.000353512204624782, -0.12835362993823196, 0.0, -0.8980951603173053, 0.0, 0.00018128162928842734, 0.0, 0.00048487379733565375, 0.22286185651859158, 0.00013141537113232703, 0.08765829066858945, 0.000176756102312391, 31.90618163091262]
delay_113_2021-11-30	delay	[0.0, 0.00017052020849252466, 0.00018645634411812063, -0.1101943465821436, 0.00037291268823624126, 0.16022092979378239, 0.0, 0.4187557493469859, 0.0, 0.00019123022860708923, 0.0, 0.0003409888708305857, -0.4972126043065095, 0.00013862734775036943, 0.35153291951660903, 0.00018645634411812063, -0.02457099848985924]
delay_114_2021-11-30	delay	[0.0, 0.0003690423919860101, 0.00016141264626083168, 1.2293766017361234, 0.00032282529252166336, -0.195480058298295, 0.0, -1.3379008151133454, 0.0, 0.00016554533121694023, 0.0, 0.0004427839362069907, 0.7522899744528284, 0.00012000775382752485, 0.237636491115602, 0.00016141264626083168, 28.563125773911864]
delay_115_2021-11-30	delay	[0.0, 0.0004641150959613643, 0.00020299577348166422, -0.765701654589243, 0.00040599154696332844, 0.8299571542023333, 0.0, -0.16933168518903638, 0.0, 0.00020819312076922222, 0.0, 0.0005568539373944022, -0.21451228699396016, 0.00015092415232849696, -2.950910589738807, 0.00020299577348166422, 38.460449525014745]
delay_116_2021-11-30	delay	[0.0, 0.0004064972350311853, 0.00017779473531751385, 0.8782043409603686, 0.0003555894706350277, 0.98226568583206, 0.0, -1.1872386689495074, 0.0, 0.00018234685465229423, 0.0, 0.0004877229545791305, 0.7800076640824786, 0.00013218757837186706, -1.5577954942422079, 0.00017779473531751385, 32.940468466214945]
delay_117_2021-11-30	delay	[0.0, 0.000660430310508686, 0.00025275301863517894, -0.9059154526759708, 0.0005055060372703579, 0.07392671718130514, 0.0, -0.9806998517605258, 0.0, 0.0002592243120680164, 0.0, 0.0007428718018606213, 0.18159912935370812, 0.00018791787844503471, -2.2692319747876586, 0.00025275301863517894, 47.64003831064183]
