ids	maltype	system calls hashing_1gram
delay_111_2021-11-30	delay	[0.0, 0.8090789980440125, 0.00012253574211607387, 0.0, 0.0, 0.0, 0.0004288750974062585, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00012253574211607387, 0.0, 0.0, -0.02645546672286035, 0.0, -0.27542358755429924, -0.5183874570220505, 0.0, -0.0003676072263482216, -0.010354270208808242, 0.0, 0.0, 0.0, 0.0, -0.00012253574211607387]
delay_112_2021-11-30	delay	[0.0, 0.8093094565165159, 0.00010691151224144518, 0.0, 0.0, 0.0, 0.0003741902928450581, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010691151224144518, 0.0, 0.0, -0.02449342745451509, 0.0, -0.2744739253774622, -0.5186277458832506, 0.0, -0.00032073453672433553, -0.010359725536196037, 0.0, 0.0, 0.0, 0.0, -0.00010691151224144518]
delay_113_2021-11-30	delay	[0.0, 0.8098898057179886, 0.00011277917419344797, 0.0, 0.0, 0.0, 0.00022555834838689594, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011277917419344797, 0.0, 0.0, -0.011086192823215936, 0.0, -0.27356844284104676, -0.5186601441982479, 0.0, -0.00022555834838689594, -0.010364406108377869, 0.0, 0.0, 0.0, 0.0, -0.00011277917419344797]
delay_114_2021-11-30	delay	[0.0, 0.809181147598692, 9.763875084147113e-05, 0.0, 0.0, 0.0, 0.0003417356279451489, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.763875084147113e-05, 0.0, 0.0, -0.02309156457400792, 0.0, -0.27486284749382534, -0.518686336095147, 0.0, -0.0002929162525244134, -0.010359471464280087, 0.0, 0.0, 0.0, 0.0, -9.763875084147113e-05]
delay_115_2021-11-30	delay	[0.0, 0.8096025171232075, 0.00012277866501716827, 0.0, 0.0, 0.0, 0.0004297253275600889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00012277866501716827, 0.0, 0.0, -0.027244585767309638, 0.0, -0.27404198031831956, -0.5182610229039689, 0.0, -0.00036833599505150475, -0.010374797193950718, 0.0, 0.0, 0.0, 0.0, -0.00012277866501716827]
delay_116_2021-11-30	delay	[0.0, 0.8092312466347323, 0.00010754618202335468, 0.0, 0.0, 0.0, 0.0003764116370817414, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010754618202335468, 0.0, 0.0, -0.024929204993013616, 0.0, -0.2749633235791109, -0.5184693889163906, 0.0, -0.00032263854607006404, -0.010378206565253727, 0.0, 0.0, 0.0, 0.0, -0.00010754618202335468]
delay_117_2021-11-30	delay	[0.0, 0.809240737321018, 0.0001528723562608859, 0.0, 0.0, 0.0, 0.0005896505170062741, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001528723562608859, 0.0, 0.0, -0.031098605045071642, 0.0, -0.27455875184455103, -0.5183355628105708, 0.0, -0.0004913754308385617, -0.010362561863684335, 0.0, 0.0, 0.0, 0.0, -0.0001528723562608859]
delay_118_2021-11-30	delay	[0.0, 0.8102723168188023, 0.0001283111873218582, 0.0, 0.0, 0.0, 0.00044908915562650366, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001283111873218582, 0.0, 0.0, -0.028048825548558202, 0.0, -0.2718015881038922, -0.5183515345428428, 0.0, -0.00038493356196557456, -0.010354712816873956, 0.0, 0.0, 0.0, 0.0, -0.0001283111873218582]
delay_119_2021-11-30	delay	[0.0, 0.8090941648217599, 0.00010084180831340328, 0.0, 0.0, 0.0, 0.0003529463290969115, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010084180831340328, 0.0, 0.0, -0.023717993315312453, 0.0, -0.27526788415309694, -0.5185789992516764, 0.0, -0.00030252542494020986, -0.010356453713786518, 0.0, 0.0, 0.0, 0.0, -0.00010084180831340328]
delay_11_2021-11-30	delay	[0.0, 0.8097188422362154, 0.0001308023459285693, 0.0, 0.0, 0.0, 0.0004578082107499925, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001308023459285693, 0.0, 0.0, -0.027913220621156688, 0.0, -0.2735992669787884, -0.5182781352727701, 0.0, -0.0003924070377857079, -0.010346465562949832, 0.0, 0.0, 0.0, 0.0, -0.0001308023459285693]
