ids	maltype	system calls hashing_1gram
normal_113_2021-12-11	normal	[0.0, 0.781038629004902, 0.0, 0.019983910621530186, 0.26033989862752327, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010034554836012314, 0.0, -0.2663700980902967, -0.5006485538276861, 0.0, 0.0, -0.009987222030182067, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_114_2021-12-11	normal	[0.0, 0.7808523276561605, 0.0, 0.019913945321596283, 0.2602841092187202, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.009982386067283078, 0.0, -0.2671965557826229, -0.5005322887647163, 0.0, 0.0, -0.009951889979501154, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_115_2021-12-11	normal	[0.0, 0.78133346690016, 0.0, 0.020014765139196707, 0.2604412922305534, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010021767882348135, 0.0, -0.2650062314764842, -0.5008582291134102, 0.0, 0.0, -0.010002587465348425, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_116_2021-12-11	normal	[0.0, 0.7810678283253216, 0.0, 0.020043985110208645, 0.26036290611890095, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010068995125711898, 0.0, -0.2662121149056215, -0.5006713821119027, 0.0, 0.0, -0.010016770047259036, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_117_2021-12-11	normal	[0.0, 0.7810188780539064, 0.0, 0.020036657752785465, 0.260330497700086, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010223716028756137, 0.0, -0.26641908572792555, -0.500651722601035, 0.0, 0.0, -0.010013764717451324, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_118_2021-12-11	normal	[0.0, 0.7805517191775445, 0.0, 0.01998175243023979, 0.2601900994042707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010041968562105631, 0.0, -0.2684577700983262, -0.5003705778254003, 0.0, 0.0, -0.00998623145630301, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_119_2021-12-11	normal	[0.0, 0.7809267485332825, 0.0, 0.019992234814912004, 0.2603089161777608, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010018887606561824, 0.0, -0.26683940928131067, -0.5005891652220403, 0.0, 0.0, -0.009991563367634836, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_11_2021-12-11	normal	[0.0, 0.7812463287424295, 0.0, 0.0200146872127291, 0.26041847682155755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010011894467486135, 0.0, -0.2653880171663279, -0.5008040629858996, 0.0, 0.0, -0.010002792745242966, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_120_2021-12-11	normal	[0.0, 0.7813100955468457, 0.0, 0.0200213256636353, 0.2604400913855803, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010015752136765192, 0.0, -0.2651324305472152, -0.50082832127784, 0.0, 0.0, -0.010005573526870107, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_121_2021-12-11	normal	[0.0, 0.7810903728501284, 0.0, 0.020012438458140436, 0.26034424260138717, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010020630490561918, 0.0, -0.26621442978233956, -0.5006472242216505, 0.0, 0.0, -0.010001415475239651, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_122_2021-12-11	normal	[0.0, 0.7812758165489437, 0.0, 0.02001104621877643, 0.26043146276185786, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010019451911860681, 0.0, -0.26525082841733116, -0.5008240216999944, 0.0, 0.0, -0.010000880175230726, 0.0, 0.0, 0.0, 0.0, 0.0]
