ids	maltype	system calls tfidf_1gram-scaled
normal_0_2021-12-11	normal	[1.3007119579635467, 0.0, 0.0, -0.767836002614755, 0.0, -0.32963351184816037, -0.3317259574787125, 1.0253521911706671, 0.0, 0.0, 0.0, 0.0, -1.0399481404859279, 0.0, 1.2098635139545737, 0.0, -0.4969497681004155]
normal_100_2021-12-11	normal	[-2.5103517997806675, 0.0, 0.0, -0.767836002614755, 0.0, -0.26626513295069937, -0.26672010869506974, -2.9446651978701643, 0.0, 0.0, 0.0, 0.0, 3.07973036553054, 0.0, -3.035790716277797, 0.0, -0.35068419504269155]
normal_101_2021-12-11	normal	[-6.8931474922207485, 0.0, 0.0, -0.767836002614755, 0.0, -0.31837771661523984, -0.32020816057674123, -6.71873802337373, 0.0, 0.0, 0.0, 0.0, 6.991919802251927, 0.0, -6.799414581994813, 0.0, -0.3688615750778975]
normal_102_2021-12-11	normal	[1.0466734105948667, 0.0, 0.0, -0.767836002614755, 0.0, -0.3601285541365294, -0.3618503781980994, 0.9403315982361283, 0.0, 0.0, 0.0, 0.0, -0.9137942797817392, 0.0, 1.0597606008791982, 0.0, -0.5250923093582722]
normal_103_2021-12-11	normal	[1.18081328465774, 0.0, 0.0, 1.1320007453514331, 0.0, -0.3524566295680368, -0.35068092188749894, 1.047920322495985, 0.0, 0.0, 0.0, 0.0, -0.9412902473998466, 0.0, 0.8647879644198867, 0.0, -0.5570018366888856]
normal_104_2021-12-11	normal	[0.5831970059786047, 0.0, 0.0, -0.5486913619177886, 0.0, -0.3355562257971195, -0.33146657293213466, 0.8809422054879444, 0.0, 0.0, 0.0, 0.0, -0.8072901500956966, 0.0, 0.927409837541701, 0.0, -0.4908610910412163]
normal_105_2021-12-11	normal	[1.2241620345490911, 0.0, 0.0, 0.7769336437325166, 0.0, -0.3509436816371328, -0.34844379315762614, 0.8646980206998647, 0.0, 0.0, 0.0, 0.0, -0.9165642602306346, 0.0, 1.170585585026349, 0.0, -0.4141207940750507]
normal_106_2021-12-11	normal	[0.9490993630665834, 0.0, 0.0, 0.9259785067144969, 0.0, -0.2711829588300959, -0.27205982259756256, 1.0234966586591598, 0.0, 0.0, 0.0, 0.0, -1.0108675158620464, 0.0, 1.152983158551115, 0.0, -0.3985507886670024]
normal_107_2021-12-11	normal	[-5.508234019344313, 0.0, 0.0, -0.767836002614755, 0.0, -0.37948619649064236, -0.38124843171295225, -5.102292500604512, 0.0, 0.0, 0.0, 0.0, 5.433835925497335, 0.0, -5.394281993416968, 0.0, -0.42626093969537737]
normal_108_2021-12-11	normal	[-5.308451618676964, 0.0, 0.0, -0.46143857556042234, 0.0, -0.3279100930969581, -0.3256242637352825, -5.007095520892726, 0.0, 0.0, 0.0, 0.0, 5.271262558879687, 0.0, -5.159378116570446, 0.0, -0.2532392972356991]
normal_109_2021-12-11	normal	[1.1155734821335308, 0.0, 0.0, 0.277846710877898, 0.0, 0.05163751932890824, 0.052083970731506064, 0.7865162137128074, 0.0, 0.0, 0.0, 0.0, -1.0825688184615645, 0.0, 1.6207991345892427, 0.0, 0.08608779035217946]
normal_10_2021-12-11	normal	[1.2860056794300083, 0.0, 0.0, 1.977602312761975, 0.0, -0.31450555852111545, -0.3147949155622421, 0.9780051340171318, 0.0, 0.0, 0.0, 0.0, -0.9239896135213458, 0.0, 0.8996229496167998, 0.0, -0.47923144156036024]
normal_110_2021-12-11	normal	[0.996870422261907, 0.0, 0.0, -0.767836002614755, 0.0, -0.36504743782825577, -0.36676987046685966, 0.8888568219022005, 0.0, 0.0, 0.0, 0.0, -0.8786595267010153, 0.0, 1.0738350073960559, 0.0, -0.5297459325761199]
normal_111_2021-12-11	normal	[-1.1749499085688881, 0.0, 0.0, -0.767836002614755, 0.0, -0.3686695691637248, -0.3678711241600005, -0.7598543742976337, 0.0, 0.0, 0.0, 0.0, 1.035610246438868, 0.0, -1.268786302929352, 0.0, -0.0891891528177996]
normal_112_2021-12-11	normal	[1.1950297714837548, 0.0, 0.0, 2.449377570921523, 0.0, -0.2927113422729425, -0.29290978209541907, 1.079987024616061, 0.0, 0.0, 0.0, 0.0, -0.965386699662957, 0.0, 0.8074466351904507, 0.0, -0.41636100090684924]
normal_113_2021-12-11	normal	[-3.9155823649175248, 0.0, 0.0, 0.11263218624806563, 0.0, -0.4021615263971318, -0.40326100556179595, -3.6275273348905337, 0.0, 0.0, 0.0, 0.0, 3.8829615977296528, 0.0, -3.788719516144438, 0.0, -0.4024269673084929]
normal_114_2021-12-11	normal	[-6.767897590327139, 0.0, 0.0, -0.767836002614755, 0.0, -0.5601886241634843, -0.5596608327190182, -6.955659559841743, 0.0, 0.0, 0.0, 0.0, 7.212523698874848, 0.0, -6.8642739540863555, 0.0, -0.6234867810220829]
normal_115_2021-12-11	normal	[0.6884926352577257, 0.0, 0.0, 3.0673026093576614, 0.0, -0.3367629725881555, -0.33760783474836903, 0.9459545626054972, 0.0, 0.0, 0.0, 0.0, -0.9343377839773177, 0.0, 1.1814880892622903, 0.0, -0.46049957689230536]
normal_116_2021-12-11	normal	[-2.999952518393502, 0.0, 0.0, 1.0779104671405642, 0.0, -0.27029826913209587, -0.26923942497567954, -3.4777832797577233, 0.0, 0.0, 0.0, 0.0, 3.605283019517293, 0.0, -3.5238792430417956, 0.0, -0.2569628979187277]
normal_117_2021-12-11	normal	[-4.9251249553586725, 0.0, 0.0, 1.1848242915525846, 0.0, -0.2839666460983048, -0.2858681423264079, -4.502231388154771, 0.0, 0.0, 0.0, 0.0, 4.586593976360838, 0.0, -4.151063449186329, 0.0, 0.40173816525756917]
normal_118_2021-12-11	normal	[-12.480666626345778, 0.0, 0.0, -0.16302948322371347, 0.0, -0.4062268056319809, -0.40772340268185475, -13.234336728433723, 0.0, 0.0, 0.0, 0.0, 13.170654495706978, 0.0, -11.922282846734019, 0.0, -0.3704795651735414]
normal_119_2021-12-11	normal	[-5.3307304793020815, 0.0, 0.0, -0.767836002614755, 0.0, -0.38145983561875985, -0.38337298529696917, -5.469669483622776, 0.0, 0.0, 0.0, 0.0, 5.602304783945148, 0.0, -5.176448816874298, 0.0, -0.46805868494415825]
normal_11_2021-12-11	normal	[1.0192522738885912, 0.0, 0.0, -0.767836002614755, 0.0, -0.3309048149614807, -0.3328492889080416, 0.9138704787509203, 0.0, 0.0, 0.0, 0.0, -0.9412665164748288, 0.0, 1.2012438286199032, 0.0, -0.4978723955031244]
normal_120_2021-12-11	normal	[1.1705351397461679, 0.0, 0.0, 1.78811568502414, 0.0, -0.321666880599013, -0.3211911226347516, 1.0487546643522432, 0.0, 0.0, 0.0, 0.0, -0.9418798458630053, 0.0, 0.8356163043481141, 0.0, -0.48455803473773784]
normal_121_2021-12-11	normal	[-4.2107127853295205, 0.0, 0.0, 1.3766720450199377, 0.0, -0.33984949190667424, -0.3406533125290399, -3.1579623751251837, 0.0, 0.0, 0.0, 0.0, 3.7504301723451827, 0.0, -4.36722563169582, 0.0, -0.4632656666167445]
normal_122_2021-12-11	normal	[1.06490682725302, 0.0, 0.0, 0.8730857919361121, 0.0, -0.34163206515161065, -0.3431592403523264, 0.7715600866309598, 0.0, 0.0, 0.0, 0.0, -0.8204165842378095, 0.0, 1.0971160184407824, 0.0, -0.4676886155912785]
normal_123_2021-12-11	normal	[-5.98947554062856, 0.0, 0.0, -0.767836002614755, 0.0, -0.3841944424733357, -0.38213556106503893, -6.150793214035226, 0.0, 0.0, 0.0, 0.0, 6.350198823610187, 0.0, -6.077121805138496, 0.0, -0.2629338754195312]
normal_124_2021-12-11	normal	[-2.269387407109227, 0.0, 0.0, 0.43532712440595644, 0.0, -0.41527672565483165, -0.411207212245085, -2.0689663971524745, 0.0, 0.0, 0.0, 0.0, 2.2180190951361882, 0.0, -1.9892922922145106, 0.0, -0.5162242677687809]
normal_125_2021-12-11	normal	[-6.062704664341218, 0.0, 0.0, -0.47496926967957476, 0.0, -0.33211767709821743, -0.3309224013097277, -6.226510053289205, 0.0, 0.0, 0.0, 0.0, 6.245743629137449, 0.0, -5.53533095378542, 0.0, -0.35899650618792905]
