ids	maltype	system calls tfidf_1gram-scaled
normal_11_2021-12-11	normal	[0.6077093946799191, 0.0, 0.0, -0.37991197888856937, 0.0, -0.2258994675833575, -0.22164206614592258, 0.2624141055577629, 0.0, 0.0, 0.0, 0.0, -0.24112147779473175, 0.0, 0.2687147184874071, 0.0, -0.29654394821025193]
normal_120_2021-12-11	normal	[-1.2420807680461057, 0.0, 0.0, -0.585071865049489, 0.0, -0.2830038965312824, -0.28244136964008776, -1.0633317207259874, 0.0, 0.0, 0.0, 0.0, 1.2789220910168293, 0.0, -1.5253745211236314, 0.0, 0.08497621771086654]
normal_121_2021-12-11	normal	[0.6510475256788817, 0.0, 0.0, -0.42622321779480393, 0.0, -0.3246045755812244, -0.32625256188367585, 0.40930151191819075, 0.0, 0.0, 0.0, 0.0, -0.4670090276041329, 0.0, 0.795939861793036, 0.0, -0.40606698592382373]
normal_122_2021-12-11	normal	[0.3917272897092883, 0.0, 0.0, 1.9859994789007185, 0.0, -0.3120108236476104, -0.3125327310831978, 0.4798732476407726, 0.0, 0.0, 0.0, 0.0, -0.4439917861263342, 0.0, 0.5915823110418644, 0.0, -0.3065685613184927]
normal_123_2021-12-11	normal	[-2.354159021161317, 0.0, 0.0, -0.585071865049489, 0.0, -0.27317206645932995, -0.2740767872838355, -2.0775202378815134, 0.0, 0.0, 0.0, 0.0, 2.316486102180029, 0.0, -2.517571591905218, 0.0, -0.1038083418726532]
normal_124_2021-12-11	normal	[0.3418031794607489, 0.0, 0.0, -0.0046939086715234325, 0.0, -0.2415262709305075, -0.2432479019009614, 0.5992229499857036, 0.0, 0.0, 0.0, 0.0, -0.4132581027879116, 0.0, 0.18710106061936896, 0.0, -0.3238808148938394]
normal_125_2021-12-11	normal	[0.139909957010076, 0.0, 0.0, 0.7483708012011127, 0.0, -0.23046463458018274, -0.22686323935121214, 0.6480739992385379, 0.0, 0.0, 0.0, 0.0, -0.5261009507797937, 0.0, 0.4820705700230579, 0.0, -0.049524868358088524]
normal_126_2021-12-11	normal	[0.7498000229716235, 0.0, 0.0, -0.585071865049489, 0.0, -0.3575687536212366, -0.354656688720421, 0.6482330093826477, 0.0, 0.0, 0.0, 0.0, -0.7241012337148144, 0.0, 1.14491304355254, 0.0, -0.4296970938172279]
normal_127_2021-12-11	normal	[-0.18899137048042589, 0.0, 0.0, 0.14473278140671084, 0.0, -0.348898686938367, -0.3454196728126417, -0.5703292123869612, 0.0, 0.0, 0.0, 0.0, 0.5517947917663504, 0.0, -0.29817195492560533, 0.0, -0.31933873840120824]
normal_128_2021-12-11	normal	[0.4999112608856908, 0.0, 0.0, 4.178022378759969, 0.0, -0.2658583691254454, -0.26751763748242946, 0.5947620507495751, 0.0, 0.0, 0.0, 0.0, -0.48949972687126864, 0.0, 0.4054529311019969, 0.0, -0.34787077121468535]
normal_129_2021-12-11	normal	[0.3521161619993652, 0.0, 0.0, -0.585071865049489, 0.0, -0.30640174856200536, -0.30124417152003097, -0.024360692957168334, 0.0, 0.0, 0.0, 0.0, -0.19228945258855068, 0.0, 0.6781483022737611, 0.0, 1.2886077047878963]
normal_12_2021-12-11	normal	[-0.22628029093172167, 0.0, 0.0, -0.585071865049489, 0.0, -0.2837496573995039, -0.2854166188076891, -0.5220903232462486, 0.0, 0.0, 0.0, 0.0, 0.677562964385401, 0.0, -0.9035430505496582, 0.0, -0.16499348267493133]
normal_130_2021-12-11	normal	[0.7477506472011448, 0.0, 0.0, -0.585071865049489, 0.0, -0.35789931141583076, -0.353157511270408, 0.8579615815747229, 0.0, 0.0, 0.0, 0.0, -0.747053556340951, 0.0, 0.7387165337759689, 0.0, -0.42639815549305804]
