ids	maltype	system calls hashing_1gram
normal_0_2021-12-11	normal	[0.0, 0.7814288063764421, 0.0, 0.02001856061117263, 0.26047626879214736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010013799168026761, 0.0, -0.26461554678759525, -0.5008978260735986, 0.0, 0.0, -0.01000476144314587, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_100_2021-12-11	normal	[0.0, 0.7812518855974383, 0.0, 0.019986889172584392, 0.2604211618830642, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.009999244612169323, 0.0, -0.26536278393037754, -0.5008090343865269, 0.0, 0.0, -0.009987644560415067, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_101_2021-12-11	normal	[0.0, 0.7812374883388002, 0.0, 0.020022227751786262, 0.26041249611293343, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010015865235112824, 0.0, -0.2654394341673686, -0.5007932617556412, 0.0, 0.0, -0.010006362516673438, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_102_2021-12-11	normal	[0.0, 0.7812947616860698, 0.0, 0.020010920568640605, 0.2604315872286899, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01000998559426346, 0.0, -0.2652103145286638, -0.5008160514091939, 0.0, 0.0, -0.010000934974377146, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_103_2021-12-11	normal	[0.0, 0.7812427241315711, 0.0, 0.019991257522936918, 0.2604178570866357, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010001052325636375, 0.0, -0.265407536121118, -0.5008010681369911, 0.0, 0.0, -0.009990205197300544, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_104_2021-12-11	normal	[0.0, 0.7812037703607189, 0.0, 0.020028315562630124, 0.26039522870095816, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010018678845776154, 0.0, -0.26563062134690074, -0.5007530997103641, 0.0, 0.0, -0.010009636716853973, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_105_2021-12-11	normal	[0.0, 0.7813294441801996, 0.0, 0.01999321873661693, 0.2604431480600665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01001393451452737, 0.0, -0.2650400868568161, -0.5008468769935991, 0.0, 0.0, -0.00999083431956883, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_106_2021-12-11	normal	[0.0, 0.7812323956274261, 0.0, 0.02002185775335417, 0.2604107985424754, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010028199024250423, 0.0, -0.265465195065605, -0.500788225899881, 0.0, 0.0, -0.010005172160819307, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_107_2021-12-11	normal	[0.0, 0.7811201289495101, 0.0, 0.019992451569113046, 0.26037938276131906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010018749952615461, 0.0, -0.2659383474382649, -0.5007302752846308, 0.0, 0.0, -0.009991720950944735, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_108_2021-12-11	normal	[0.0, 0.7812411966017132, 0.0, 0.020033204168763304, 0.2604209009979118, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010021978682387226, 0.0, -0.26541038394708316, -0.5007978446310491, 0.0, 0.0, -0.01001122548637608, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_109_2021-12-11	normal	[0.0, 0.7812817926086949, 0.0, 0.02001851046531108, 0.2604307854888201, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010014537161538209, 0.0, -0.2652373407720478, -0.5008219327967984, 0.0, 0.0, -0.010003973303772873, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_10_2021-12-11	normal	[0.0, 0.7812505223672, 0.0, 0.02009477324553834, 0.2604205975236424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010053021724632754, 0.0, -0.26534567655241426, -0.5008140430241095, 0.0, 0.0, -0.010041751520905586, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_110_2021-12-11	normal	[0.0, 0.7812523260011743, 0.0, 0.02002679960716478, 0.2604143034955165, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010018107560894843, 0.0, -0.2653951107320892, -0.5007923918692433, 0.0, 0.0, -0.01000869204626994, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_111_2021-12-11	normal	[0.0, 0.7811786057091555, 0.0, 0.02002927092079164, 0.26039904186943214, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010019265435181023, 0.0, -0.26572351287241647, -0.5007410329693613, 0.0, 0.0, -0.010010005485610615, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_112_2021-12-11	normal	[0.0, 0.7811151665046614, 0.0, 0.02003938567770742, 0.2603780990610376, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010053171526143437, 0.0, -0.26597382250803464, -0.5007168124443677, 0.0, 0.0, -0.010014910169240892, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_113_2021-12-11	normal	[0.0, 0.781259461722303, 0.0, 0.020017468112928052, 0.2604236752762217, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010026080216007292, 0.0, -0.26533842048014683, -0.500806754226791, 0.0, 0.0, -0.010002952003282939, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_114_2021-12-11	normal	[0.0, 0.781118830933236, 0.0, 0.02001750461869271, 0.260372943644412, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010167765623384995, 0.0, -0.2659611258234842, -0.5007192961950434, 0.0, 0.0, -0.010004209071802394, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_115_2021-12-11	normal	[0.0, 0.78132252513867, 0.0, 0.02001999096630238, 0.26043714866899287, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010015535048996875, 0.0, -0.2651125422427502, -0.5008210689766092, 0.0, 0.0, -0.010004455917305506, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_116_2021-12-11	normal	[0.0, 0.7813095016032452, 0.0, 0.02000608244355329, 0.2604365005344151, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010008005510224178, 0.0, -0.2651227888288851, -0.5008371328945916, 0.0, 0.0, -0.009998076933329113, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_117_2021-12-11	normal	[0.0, 0.7812504180869552, 0.0, 0.0200056610603892, 0.26041680602898504, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010016378381928499, 0.0, -0.2653843516647476, -0.5008008552941131, 0.0, 0.0, -0.009998314579616635, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_118_2021-12-11	normal	[0.0, 0.7812455387244545, 0.0, 0.02001770450081555, 0.26041911619320574, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010014757177989136, 0.0, -0.2654028750718748, -0.5007969081752704, 0.0, 0.0, -0.010002947322826413, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_119_2021-12-11	normal	[0.0, 0.7812491252974724, 0.0, 0.020007674281090654, 0.2604163750991575, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010019156952399149, 0.0, -0.2654004205556007, -0.5007944362935166, 0.0, 0.0, -0.009998730536594053, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_11_2021-12-11	normal	[0.0, 0.7812392860447699, 0.0, 0.020063799156048636, 0.260420876538544, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010037735470739865, 0.0, -0.2654280724884828, -0.5007896257064705, 0.0, 0.0, -0.010026063685308772, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_120_2021-12-11	normal	[0.0, 0.7811625585334039, 0.0, 0.020036491364704874, 0.26038417842536427, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01012348988411802, 0.0, -0.26581678388793056, -0.5007218422287126, 0.0, 0.0, -0.010013234053696933, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_121_2021-12-11	normal	[0.0, 0.7812453035741111, 0.0, 0.02001710080413488, 0.2604211259019209, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010013068934980338, 0.0, -0.2653824750402821, -0.5008070768680554, 0.0, 0.0, -0.010004031869154542, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_122_2021-12-11	normal	[0.0, 0.781334419545682, 0.0, 0.02002540931446068, 0.2604448065152273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01003655578790502, 0.0, -0.26500514270022596, -0.5008546632637241, 0.0, 0.0, -0.010007934431095404, 0.0, 0.0, 0.0, 0.0, 0.0]
