ids	maltype	system calls frequency_1gram-scaled
delay_0_2021-11-23	delay	[1.7124762315946456, 25.0, 5.0, -0.027097775497692805, 10.0, 1.6239399291692804, 1.6240007828588188, 1.7121870329773494, 0.0, 10.0, 0.0, 30.0, 1.6891800988169365, 10.0, 1.7124820981481879, 5.0, 21.501911946353626]
delay_100_2021-11-23	delay	[-0.14631519559531928, 25.0, 5.0, 0.9744360068970338, 10.0, -0.24227904356635763, -0.24225143864600565, -0.14627615654833181, 0.0, 10.0, 0.0, 30.0, -0.143624045996994, 10.0, -0.14635496262349776, 5.0, 19.721309752709622]
delay_101_2021-11-23	delay	[-0.5582933021148971, 50.0, 10.0, -0.7554859808756758, 20.0, -0.6927456921577185, -0.6927261128023425, -0.558679346505571, 0.0, 20.0, 0.0, 60.0, -0.567083513233535, 20.0, -0.5586175597200909, 10.0, 39.24545661284122]
delay_102_2021-11-23	delay	[-0.38531139685519306, 25.0, 5.0, -0.7554859808756758, 10.0, -0.4996885570471353, -0.49966553816391246, -0.38569006376165, 0.0, 10.0, 0.0, 30.0, -0.37921065100887247, 10.0, -0.38538462570494575, 5.0, 19.846264292614467]
delay_103_2021-11-23	delay	[-1.7221008908586304, 25.0, 5.0, -0.11814630116994068, 10.0, -0.8536266380832046, -0.8536099250010344, -1.7223328138206861, 0.0, 10.0, 0.0, 30.0, -1.7307024154567625, 10.0, -1.7222978742695336, 5.0, 19.112156370673517]
delay_104_2021-11-23	delay	[0.35612694618375046, 50.0, 10.0, -0.7554859808756758, 20.0, 0.24036379421010046, 0.24039999795006964, 0.3559836573076932, 0.0, 20.0, 0.0, 60.0, 0.3418632868629277, 20.0, 0.3564973339122079, 10.0, 40.18261566212754]
delay_105_2021-11-23	delay	[1.6287358746314673, 25.0, 5.0, 1.3386301095860254, 10.0, 1.5274113616139886, 1.5274704955396037, 1.628850617615437, 0.0, 10.0, 0.0, 30.0, 1.6038917835847881, 10.0, 1.629203146383109, 5.0, 21.408196041424993]
delay_106_2021-11-23	delay	[0.9239721404815069, 50.0, 10.0, 0.6102419042080424, 20.0, 0.8517113887269474, 0.8517584843050984, 0.9236493130492289, 0.0, 20.0, 0.0, 60.0, 0.9484242420454098, 20.0, 0.9235570665416004, 10.0, 40.85424631411606]
delay_107_2021-11-23	delay	[1.0572232194448126, 25.0, 5.0, -0.3912918781866843, 10.0, 0.948239956282239, 0.9482887716243135, 1.0573135880551325, 0.0, 10.0, 0.0, 30.0, 1.056973006886326, 10.0, 1.0573755348358684, 5.0, 20.86151992934131]
delay_108_2021-11-23	delay	[1.6703004313723149, 50.0, 10.0, -0.7554859808756758, 20.0, 1.591763739984183, 1.5918240204190806, 1.6706207035547818, 0.0, 20.0, 0.0, 60.0, 1.6712874452717306, 20.0, 1.670206905076602, 10.0, 41.54149628359269]
delay_109_2021-11-23	delay	[-1.1096349224126112, 25.0, 5.0, -0.3002433525144364, 10.0, -1.2397409083043711, -1.2397310742778946, -1.109840724388146, 0.0, 10.0, 0.0, 30.0, -1.1014774324503531, 10.0, -1.1101022212178464, 5.0, 18.799770020911414]
delay_10_2021-11-23	delay	[0.18008882351663114, 25.0, 5.0, -0.11814630116994068, 10.0, 0.07948284828461442, 0.0795161857513779, 0.18014178332889014, 0.0, 10.0, 0.0, 30.0, 0.16472601676538873, 10.0, 0.17976795535730755, 5.0, 20.002457467495518]
delay_110_2021-11-23	delay	[0.7461002873699384, 25.0, 5.0, 2.0670183149640082, 10.0, 0.6586542536163641, 0.6586979096666682, 0.7461773869362076, 0.0, 10.0, 0.0, 30.0, 0.7325195559332578, 10.0, 0.7458741122031305, 5.0, 20.611610849531626]
delay_111_2021-11-23	delay	[0.32434228514663166, 50.0, 10.0, 0.8833874812247859, 20.0, 0.24036379421010046, 0.24039999795006964, 0.3239938841736583, 0.0, 20.0, 0.0, 60.0, 0.3221813679632012, 20.0, 0.3240757572708413, 10.0, 40.51062132937775]
delay_112_2021-11-23	delay	[0.9423094449259984, 25.0, 5.0, 0.6102419042080424, 10.0, 0.8517113887269474, 0.8517584843050984, 0.9421911560759626, 0.0, 10.0, 0.0, 30.0, 0.9269530577911625, 10.0, 0.9423107236184693, 5.0, 20.877139246829415]
delay_113_2021-11-23	delay	[1.3591774992974408, 50.0, 10.0, -0.7554859808756758, 20.0, 1.2700018481332112, 1.2700563960216968, 1.3592807459190794, 0.0, 20.0, 0.0, 60.0, 1.3748658182061517, 20.0, 1.3590233410383872, 10.0, 41.44778037866406]
delay_114_2021-11-23	delay	[1.0914528544078634, 10.0, 5.0, -0.7554859808756758, 10.0, 1.0125923346524335, 1.0126422965037902, 1.0915446828737176, 0.0, 10.0, 0.0, 20.0, 1.1017046407493407, 10.0, 1.0917042630443743, 5.0, 1.1967992118167654]
delay_115_2021-11-23	delay	[-0.9910536870048988, 25.0, 5.0, -0.11814630116994068, 10.0, -1.1110361515639822, -1.1110240245189411, -0.9910506751069849, 0.0, 10.0, 0.0, 30.0, -0.9917358240397565, 10.0, -0.9912231068661689, 5.0, 18.893485925840043]
delay_116_2021-11-23	delay	[1.6342370659648147, 25.0, 5.0, -0.3912918781866843, 10.0, 1.559587550799086, 1.5596472579793421, 1.6345558000852012, 0.0, 10.0, 0.0, 30.0, 1.6146273757119116, 10.0, 1.6346067424900035, 5.0, 21.470673311377414]
delay_117_2021-11-23	delay	[-0.6756520505596434, 25.0, 5.0, -0.4823404038589322, 10.0, -0.7892742597130101, -0.7892564001215576, -0.675839343652514, 0.0, 10.0, 0.0, 30.0, -0.6583360463140854, 10.0, -0.6759073810991524, 5.0, 19.20587227560215]
delay_118_2021-11-23	delay	[0.6861984261845991, 25.0, 5.0, -0.20919482684218854, 10.0, 0.5621256860610725, 0.5621676223474532, 0.6862729710036837, 0.0, 10.0, 0.0, 30.0, 0.666913159600836, 10.0, 0.6864345550272917, 5.0, 20.517894944602993]
delay_119_2021-11-23	delay	[0.3408458591466741, 25.0, 5.0, 0.15499927584680295, 10.0, 0.24036379421010046, 0.24039999795006964, 0.34131318809972816, 0.0, 10.0, 0.0, 30.0, 0.3454418175719689, 10.0, 0.3412401213750942, 5.0, 20.502275627114887]
delay_11_2021-11-23	delay	[1.5853375874461704, 50.0, 10.0, -0.7554859808756758, 20.0, 1.4952351724288915, 1.4952937330998655, 1.5854504795418738, 0.0, 20.0, 0.0, 60.0, 1.5722814289882576, 20.0, 1.5856565189334304, 10.0, 41.40092242619975]
delay_120_2021-11-23	delay	[0.8982999142592186, 50.0, 10.0, -0.4823404038589322, 20.0, 0.8195351995418502, 0.81958172186536, 0.8985872614856221, 0.0, 20.0, 0.0, 60.0, 0.8923605942704311, 20.0, 0.8984462375742674, 10.0, 40.76053040918743]
delay_121_2021-11-23	delay	[-0.8779736429305339, 25.0, 5.0, 2.0670183149640082, 10.0, -1.0145075840086906, -1.014493737199726, -0.8783733213291423, 0.0, 10.0, 0.0, 30.0, -0.8813977938443197, 10.0, -0.878065447215909, 5.0, 19.03405978323299]
delay_122_2021-11-23	delay	[-0.04057007329875108, 25.0, 5.0, 0.6102419042080424, 10.0, -0.14575047601106603, -0.1457211513267906, -0.040730280857694506, 0.0, 10.0, 0.0, 30.0, -0.04103949900447982, 10.0, -0.04082590924179468, 5.0, 19.893122245078782]
delay_123_2021-11-23	delay	[0.7051469741105738, 50.0, 10.0, 0.2460478015190508, 20.0, 0.5943018752461697, 0.5943443847871915, 0.7050185705471945, 0.0, 20.0, 0.0, 60.0, 0.7247660727303352, 20.0, 0.7048703535096373, 10.0, 40.65119518677069]
delay_124_2021-11-23	delay	[-0.7850646337451098, 25.0, 5.0, 0.9744360068970338, 10.0, -0.917979016453399, -0.917963449880511, -0.7854603496786972, 0.0, 10.0, 0.0, 30.0, -0.7949166350424909, 10.0, -0.7849328790206107, 5.0, 19.09653705318541]
delay_125_2021-11-23	delay	[0.19536991055370745, 25.0, 5.0, -0.11814630116994068, 10.0, 0.11165903746971163, 0.11169294819111623, 0.19542352208718702, 0.0, 10.0, 0.0, 30.0, 0.21124691598292422, 10.0, 0.19502516789442126, 5.0, 20.642849484507835]
delay_126_2021-11-23	delay	[1.1751932113710417, 25.0, 5.0, -0.027097775497692805, 10.0, 1.0769447130226277, 1.0769958213832669, 1.1752886112691847, 0.0, 10.0, 0.0, 30.0, 1.1541897578152782, 10.0, 1.1756189319984995, 5.0, 20.970855151758045]
delay_127_2021-11-23	delay	[1.0083237409261683, 25.0, 5.0, -0.7554859808756758, 10.0, 0.9160637670971418, 0.916112009184575, 1.0084120240285825, 0.0, 10.0, 0.0, 30.0, 0.9895773451993835, 10.0, 1.0081074526847722, 5.0, 20.814661976876994]
delay_128_2021-11-23	delay	[-1.2538883840426116, 50.0, 10.0, -0.4823404038589322, 20.0, -1.400621854229857, -1.4006148864765864, -1.2538965817496917, 0.0, 20.0, 0.0, 60.0, -1.239847286533279, 20.0, -1.254092164536857, 10.0, 38.60506459582891]
delay_129_2021-11-23	delay	[-0.8174605382637117, 25.0, 5.0, -0.4823404038589322, 10.0, -0.9501552056384962, -0.9501402123202494, -0.8170426097791774, 0.0, 10.0, 0.0, 30.0, -0.8259305678541813, 10.0, -0.8173544556619773, 5.0, 19.002821148256782]
delay_12_2021-11-23	delay	[1.708808770705747, 25.0, 5.0, -0.57338892953118, 10.0, 1.6239399291692804, 1.6240007828588188, 1.7089269287089126, 0.0, 10.0, 0.0, 30.0, 1.7190011880589464, 10.0, 1.7089856536084327, 5.0, 21.75182102616331]
delay_130_2021-11-23	delay	[0.3420683461096402, 25.0, 5.0, 2.795406520341991, 10.0, 1.5434994562065374, 1.5274704955396037, 0.34212821416683736, 0.0, 10.0, 0.0, 30.0, 0.3269527422419228, 10.0, 0.3415579799696174, 5.0, 21.408196041424993]
delay_131_2021-11-23	delay	[0.4251974595913355, 25.0, 5.0, -0.4823404038589322, 10.0, 0.3047161725802949, 0.3047535228295464, 0.42485335997841794, 0.0, 10.0, 0.0, 30.0, 0.4068732614105094, 10.0, 0.42515479032921955, 5.0, 20.236747229817098]
delay_132_2021-11-23	delay	[0.7693275396662944, 25.0, 5.0, 0.2460478015190508, 10.0, 0.6908304428014613, 0.6908746721064066, 0.7694056298488189, 0.0, 10.0, 0.0, 30.0, 0.7533943184026648, 10.0, 0.7693956481978474, 5.0, 20.59599153204352]
delay_133_2021-11-23	delay	[-1.4586549503394346, 25.0, 5.0, -0.7554859808756758, 10.0, -1.5936789893404404, -1.5936754611150166, -1.45867188111087, 0.0, 10.0, 0.0, 30.0, -1.4652947212028742, 10.0, -1.458793099409799, 5.0, 18.37804844873257]
delay_134_2021-11-23	delay	[-1.925033726711004, 0.0, 0.0, 0.2460478015190508, 0.0, -0.8214504488981074, -0.821433162561296, -1.9248667914973145, 0.0, 0.0, 0.0, 0.0, -1.9132074816178635, 0.0, -1.9254095161698597, 0.0, -0.8337120616369205]
delay_135_2021-11-23	delay	[0.626907808480743, 25.0, 5.0, -0.4823404038589322, 10.0, 0.5299494968759753, 0.5299908599077148, 0.6269798246214917, 0.0, 10.0, 0.0, 30.0, 0.6376884921436663, 10.0, 0.6269949978514529, 5.0, 20.455417674650572]
delay_136_2021-11-23	delay	[-1.3290713322650272, 25.0, 5.0, -0.7554859808756758, 10.0, -1.4649742326000514, -1.464968411356063, -1.329490249474067, 0.0, 10.0, 0.0, 30.0, -1.311417900714103, 10.0, -1.3291067928443328, 5.0, 18.565480258589833]
delay_137_2021-11-23	delay	[-0.6035253197446431, 25.0, 5.0, -0.4823404038589322, 10.0, -0.6927456921577185, -0.6927261128023425, -0.6030982671630207, 0.0, 10.0, 0.0, 30.0, -0.6136044124510706, 10.0, -0.6037534801423855, 5.0, 19.252730228066465]
delay_138_2021-11-23	delay	[1.1177363241116347, 25.0, 5.0, -0.4823404038589322, 10.0, 1.0447685238375306, 1.0448190589435284, 1.117625517021211, 0.0, 10.0, 0.0, 30.0, 1.09931895360998, 10.0, 1.1174508092007536, 5.0, 20.955235834269942]
delay_139_2021-11-23	delay	[1.7344809969280355, 50.0, 10.0, 0.9744360068970338, 20.0, 1.6561161183543776, 1.6561775452985572, 1.7343964933060743, 0.0, 20.0, 0.0, 60.0, 1.7309296237557503, 20.0, 1.7344143411702888, 10.0, 41.69768945847375]
delay_13_2021-11-23	delay	[-1.1793166793016792, 25.0, 5.0, -0.7554859808756758, 10.0, -1.3040932866745654, -1.3040845991573713, -1.17952545312598, 0.0, 10.0, 0.0, 30.0, -1.1658909852130945, 10.0, -1.1793953948239044, 5.0, 18.659196163518466]
delay_140_2021-11-23	delay	[0.010774379145825389, 25.0, 5.0, -0.11814630116994068, 10.0, -0.11357428682596882, -0.11354438888705223, 0.011023874403737687, 0.0, 10.0, 0.0, 30.0, 0.003095713073694881, 10.0, 0.010985041665487257, 5.0, 19.815025657638255]
delay_141_2021-11-23	delay	[-0.1108630736693022, 25.0, 5.0, -0.7554859808756758, 10.0, 0.7873590103567529, 0.7874049594256216, -0.11021125307875111, 0.0, 10.0, 0.0, 30.0, -0.12274928352758703, 10.0, -0.11107265863142234, 5.0, 20.845900611853203]
delay_142_2021-11-23	delay	[0.18253379744256334, 25.0, 5.0, -0.57338892953118, 10.0, 0.07948284828461442, 0.0795161857513779, 0.18258686153021764, 0.0, 10.0, 0.0, 30.0, 0.19156499708319766, 10.0, 0.18231082411349317, 5.0, 20.049315419959836]
delay_143_2021-11-23	delay	[0.05356142284963911, 25.0, 5.0, -0.4823404038589322, 10.0, -0.0492219084557744, -0.049190864007575524, 0.053812742926969026, 0.0, 10.0, 0.0, 30.0, 0.0382845983792666, 10.0, 0.053578093331596334, 5.0, 19.877502927590676]
delay_144_2021-11-23	delay	[-1.486772150487655, 25.0, 5.0, -0.7554859808756758, 10.0, -1.609767083932989, -1.6097638423348857, -1.4869940369429138, 0.0, 10.0, 0.0, 30.0, -1.4837837965329204, 10.0, -1.487082514322364, 5.0, 18.37804844873257]
delay_145_2021-11-23	delay	[-0.46966299729985445, 25.0, 5.0, -0.4823404038589322, 10.0, -0.5640409354173297, -0.5640190630433892, -0.46984150519067164, 0.0, 10.0, 0.0, 30.0, -0.48000593264686603, 10.0, -0.4699350118481175, 5.0, 19.44016203792373]
delay_146_2021-11-23	delay	[1.2393737769267623, 25.0, 5.0, -0.4823404038589322, 10.0, 1.1412970913928222, 1.1413493462627435, 1.239675670570809, 0.0, 10.0, 0.0, 30.0, 1.2514065087442308, 10.0, 1.2398263680921864, 5.0, 21.267622184032046]
delay_147_2021-11-23	delay	[-0.9342080432269748, 50.0, 10.0, -0.7554859808756758, 20.0, -1.078859962378885, -1.078847262079203, -0.9346101199596749, 0.0, 20.0, 0.0, 60.0, -0.9440220812525406, 20.0, -0.9343264184465156, 10.0, 38.8862123106148]
delay_148_2021-11-23	delay	[-0.717827850781974, 25.0, 5.0, -0.11814630116994068, 10.0, -0.8214504488981074, -0.821433162561296, -0.7174056730750815, 0.0, 10.0, 0.0, 30.0, -0.7275209733555484, 10.0, -0.7175468569816918, 5.0, 19.159014323137836]
